slug,state,region,statsSource,medianHousePrice,regionMedian,regionN,deviationPct,population
bittern-vic-3918,VIC,Mornington Peninsula,sales-vic,840000,1362500,26,-38,4276
carisbrook-vic-3464,VIC,Mount Alexander,sales-vic,417000,676250,10,-38,1192
highland-park-qld-4211,QLD,Scenic Rim,sales-abs,961300,695000,8,38,6576
glenroy-vic-3046,VIC,Moreland,sales-vic,825000,1335000,15,-38,36772
doolandella-qld-4077,QLD,Brisbane,sales-abs,783888,1262500,86,-38,7123
mount-warren-park-qld-4207,QLD,Gold Coast,sales-abs,705444,1136250,32,-38,5736
heathcote-vic-3523,VIC,Mitchell,sales-vic,460000,740000,5,-38,3965
woodvale-wa-6026,WA,Wanneroo,sales-abs,883000,644500,10,37,9579
elliminyt-vic-3250,VIC,Colac Otway,sales-vic,735000,535000,6,37,3260
rapid-creek-nt-0810,NT,Darwin,sales-abs,800000,585000,14,37,3261
heywood-vic-3304,VIC,Moyne,sales-vic,353000,557000,10,-37,1815
deagon-qld-4017,QLD,Brisbane,sales-abs,800000,1262500,86,-37,3773
bald-hills-qld-4036,QLD,Brisbane,sales-abs,795000,1262500,86,-37,7000
fingal-vic-3939,VIC,Mornington Peninsula,sales-vic,1870000,1362500,26,37,15900
carlton-north-vic-3054,VIC,Moreland,sales-vic,1826000,1335000,15,37,6177
whitlam-act-2611,ACT,Snowy Valleys,sales-abs,1345000,982500,12,37,7
malvern-sa-5061,SA,Unley,sales-sa,2650750,1940000,9,37,2713
glenside-sa-5065,SA,Burnside,sales-sa,1240000,1963250,14,-37,2852
burnside-sa-5066,SA,Adelaide Hills,sales-sa,1825000,1335000,27,37,3060
miami-qld-4220,QLD,Gold Coast,sales-abs,1555000,1136250,32,37,7445
bardon-qld-4065,QLD,Brisbane,sales-abs,1732500,1262500,86,37,10153
cambridge-park-nsw-2747,NSW,Blacktown,sales-abs,875000,1400000,5,-37,7054
scullin-act-2614,ACT,Belconnen,sales-abs,787000,1240000,7,-37,3069
old-reynella-sa-5161,SA,Marion,sales-sa,745000,1177560,33,-37,3458
balaclava-vic-3183,VIC,Glen Eira,sales-vic,1150000,1819000,15,-37,17964
fairhaven-vic-3231,VIC,Surf Coast,sales-vic,1725000,1271250,12,36,390
underwood-qld-4119,QLD,Logan,sales-abs,900000,660000,11,36,6809
zillmere-qld-4034,QLD,Brisbane,sales-abs,811250,1262500,86,-36,9323
kingsley-wa-6026,WA,Wanneroo,sales-abs,868750,644500,10,35,13204
fyansford-vic-3218,VIC,Golden Plains,sales-vic,955000,706000,8,35,1206
waterways-vic-3195,VIC,Kingston,sales-vic,1635000,1214000,20,35,2422
princes-hill-vic-3054,VIC,Moreland,sales-vic,1800000,1335000,15,35,2005
hendra-qld-4011,QLD,Brisbane,sales-abs,1710000,1262500,86,35,4914
zetland-nsw-2017,NSW,Sydney,sales-abs,2550000,1905000,9,34,12622
terang-vic-3264,VIC,Moyne,sales-vic,365000,557000,10,-34,2254
cowandilla-sa-5033,SA,West Torrens,sales-sa,965000,1467750,22,-34,1455
fitzroy-north-vic-3068,VIC,Moreland,sales-vic,1790500,1335000,15,34,12781
stanhope-vic-3623,VIC,Greater Shepparton,sales-vic,319000,485500,6,-34,890
chapman-act-2611,ACT,Snowy Valleys,sales-abs,1317500,982500,12,34,2867
coromandel-valley-sa-5051,SA,Onkaparinga,sales-sa,1226500,915750,42,34,4380
gawler-south-sa-5118,SA,Playford,sales-sa,982500,731250,18,34,2618
