slug,name,postcode,medianRentHouse,medianRentUnit,rentalUpdatedAt,statsSource
couch-beach-sa-5575,"Couch Beach",5575,200,170,2026-07-01T02:02:17.568Z,rental-sa
couch-beach-sa-5577,"Couch Beach",5577,160,136,2026-07-01T02:02:17.568Z,rental-sa
coulta-sa-5607,"Coulta",5607,250,150,2026-07-01T02:02:17.568Z,rental-sa
cowarie-sa-5733,"Cowarie",5733,80,68,2026-07-01T02:02:17.568Z,rental-sa
cowirra-sa-5238,"Cowirra",5238,215,200,2026-07-01T02:02:17.568Z,rental-sa
cowleds-landing-sa-5609,"Cowleds Landing",5609,265,225,2026-07-01T02:02:17.568Z,rental-sa
cradock-sa-5432,"Cradock",5432,120,250,2026-07-01T02:02:17.568Z,rental-sa
crescent-sa-5341,"Crescent",5341,200,246,2026-07-01T02:02:17.568Z,rental-sa
crown-point-sa-5734,"Crown Point",5734,75,64,2026-07-01T02:02:17.568Z,rental-sa
croydon-park-south-sa-5008,"Croydon Park South",5008,310,264,2026-07-01T02:02:17.568Z,rental-sa
culburra-sa-5261,"Culburra",5261,150,150,2026-07-01T02:02:17.568Z,rental-sa
cultana-sa-5700,"Cultana",5700,200,170,2026-07-01T02:02:17.568Z,rental-sa
cungena-sa-5660,"Cungena",5660,50,50,2026-07-01T02:02:17.568Z,rental-sa
cunliffe-sa-5554,"Cunliffe",5554,250,175,2026-07-01T02:02:17.568Z,rental-sa
cunningham-sa-5571,"Cunningham",5571,230,275,2026-07-01T02:02:17.568Z,rental-sa
cunyarie-sa-5641,"Cunyarie",5641,150,128,2026-07-01T02:02:17.568Z,rental-sa
curnamona-sa-5440,"Curnamona",5440,75,64,2026-07-01T02:02:17.568Z,rental-sa
curramulka-sa-5580,"Curramulka",5580,200,200,2026-07-01T02:02:17.568Z,rental-sa
currency-creek-sa-5214,"Currency Creek",5214,277,330,2026-07-01T02:02:17.568Z,rental-sa
custon-sa-5269,"Custon",5269,138,200,2026-07-01T02:02:17.568Z,rental-sa
cuttlefish-bay-sa-5222,"Cuttlefish Bay",5222,220,187,2026-07-01T02:02:17.568Z,rental-sa
cygnet-river-sa-5223,"Cygnet River",5223,211,230,2026-07-01T02:02:17.568Z,rental-sa
